emp_id,full_name,gender,dob,join_date,department,job_title,manager_id,location,status,employment_type,salary,email,phone,last_working_day
1,Kevin Brown,Male,1997-01-21,2004-01-01,Sales,Unknown,45,Hyderabad,Abscond,Contract,112521.12,williamfitzpatrick@gmail.com,131-213-8349,2011-01-18
2,Sherri Gardner,Unknown,1996-06-25,2022-11-20,Engineering,Sales Executive,42,Remote,Active,Intern,89530.07,joneskatherine@collins.com,994-206-7110,
3,Dan Pena,Unknown,1967-05-26,1976-05-23,Sales,Sales Executive,7,Bangalore,Resigned,Unknown,95811.82,joshua68@edwards.info,241-975-9225,2010-01-06
4,Paul Johnson,Female,1971-12-02,1975-07-21,Engineering,Operations Lead,18,Bangalore,Terminated,Unknown,69455.75,timothy63@hotmail.com,172-744-3954,1987-01-03
5,Cynthia Reynolds,Unknown,1997-11-07,2015-05-20,Sales,Operations Lead,8,Unknown,Terminated,Contract,125642.0,bfrye@smith.net,420-146-2724,2022-01-30
6,David Webb,Male,1998-06-21,2019-09-13,Engineering,Hr Manager,20,Remote,Active,Unknown,79782.4,victorlee@hotmail.com,956-893-6511,
7,David Graham,Male,1993-12-05,2008-04-13,Sales,Software Engineer,15,Chennai,Terminated,Intern,92911.53,tortiz@cochran-johnson.com,236-880-0318,2018-01-26
8,Mark Mathews,Male,1969-06-25,1995-10-25,Human Resource,Hr Manager,41,Unknown,Abscond,Unknown,79067.0,blakestephen@gmail.com,041-454-8518,2015-01-24
9,Teresa Torres,Male,1995-12-18,2013-12-20,Human Resource,Software Engineer,23,Hyderabad,Abscond,Unknown,106063.0,swalker@clark.com,354-112-2131,2023-01-16
10,Seth Hart,Male,1978-05-17,1980-09-08,Engineering,Unknown,18,Remote,Active,Contract,93008.89,christopher29@hill.biz,427-634-5957,
11,Christopher Vance,Unknown,1972-12-03,1986-09-27,Engineering,Unknown,22,Chennai,Resigned,Unknown,93008.89,lovecynthia@yahoo.com,529-580-4996,1999-01-10
12,Denise Rodriguez,Unknown,1981-01-23,2002-04-01,Finance,Unknown,40,Bangalore,Resigned,Full-time,93225.0,Unknown,917-451-8477,2003-01-12
13,Robert Sellers,Male,1998-11-13,1999-02-12,Sales,Finance Analyst,22,Hyderabad,Abscond,Unknown,83894.94,jimenezkristine@hotmail.com,753-457-5197,1999-01-22
14,Kristopher Larson,Male,1976-06-06,2007-02-08,Engineering,Sales Executive,35,Remote,Resigned,Unknown,89530.07,lisaward@hotmail.com,048-672-2656,2024-01-17
15,Laura Evans Md,Female,1985-06-21,2013-07-20,Finance,Finance Analyst,48,Bangalore,Active,Full-time,50579.0,donnawells@hopkins-hoover.com,572-705-9588,
16,Michael Wallace,Unknown,1972-11-03,1998-10-01,Human Resource,Unknown,49,Unknown,Abscond,Intern,79040.0,hlang@gmail.com,338-262-8943,2002-01-15
17,Ronald Richardson,Unknown,1984-05-07,2023-09-29,Sales,Software Engineer,12,Chennai,Resigned,Unknown,92911.53,ann44@hotmail.com,088-452-5322,2025-01-21
18,Daniel Steele,Male,2001-02-04,2009-09-20,Sales,Sales Executive,49,Bangalore,Abscond,Contract,101845.0,awagner@andrews-mahoney.com,079-921-2382,2020-01-22
19,Victor Barton,Male,1984-09-15,1993-10-09,Finance,Unknown,47,Unknown,Abscond,Contract,147106.0,smithchristian@hotmail.com,562-581-4795,2007-01-09
20,Patrick Schneider,Unknown,1983-09-29,2024-02-25,Human Resource,Operations Lead,40,Bangalore,Resigned,Contract,92432.0,sylviamccoy@gmail.com,438-605-2305,2024-01-21
21,Angela Walker,Female,1975-10-14,1984-06-03,Human Resource,Finance Analyst,19,Bangalore,Terminated,Unknown,47335.0,kennethhodges@martinez.com,499-002-6707,2017-01-01
22,Colton Johnson,Unknown,1973-01-03,1979-06-11,Engineering,Sales Executive,10,Unknown,Active,Unknown,89530.07,johnnymartinez@nichols.com,789-159-2762,
23,Crystal George Phd,Male,1976-10-14,2001-10-21,Sales,Sales Executive,48,Chennai,Active,Intern,144627.0,kristabaker@mccarthy.com,479-579-0532,
24,Matthew Turner,Female,1989-04-07,2005-06-11,Engineering,Finance Analyst,21,Chennai,Active,Full-time,99062.91,hollandjoseph@grant.com,621-003-8505,
25,Katherine Lee,Female,1966-05-31,2006-10-16,Engineering,Software Engineer,4,Chennai,Resigned,Full-time,97408.24,thomasmann@gmail.com,024-723-3655,2021-01-07
26,Sonya Shelton,Female,1998-05-02,2007-11-20,Engineering,Operations Lead,29,Unknown,Terminated,Unknown,147508.0,diana35@andrade-haney.com,142-641-0958,2016-01-01
27,Elizabeth Booker,Unknown,1970-06-29,2015-07-15,Engineering,Hr Manager,29,Bangalore,Resigned,Full-time,84174.0,kjohnson@gmail.com,928-942-9925,2020-01-25
