emp_id ,full_name,gender,dob,join_date,Department,job_title,manager_id,location,Status,salary,email,phone,employment_type,last_working_day
1, Kevin Brown ,Male,1997-01-21,2004-01-01,sales,,45,Hyderabad,,,williamfitzpatrick@gmail.com,1312138349,Contract,2011-09-18
2, Sherri Gardner ,,1996-06-25,2022-11-20,Engineering,Sales Executive,42,Remote,Active,,joneskatherine@collins.com,+1-994-206-7110x476,Intern,
3, Dan Pena ,,1967-05-26,1976-05-23,sales,Sales Executive,7,Bangalore,Resigned,,joshua68@edwards.info,+1-241-975-9225x633,,2010-03-06
emp4, Paul Johnson ,Female,1971-12-02,1975-07-21,Engineering,Operations Lead,18,Bangalore,Terminated,-1000.0,timothy63@hotmail.com,172-744-3954,,1987-10-03
5, Cynthia Reynolds ,,1997-11-07,2015-05-20,Sales,Operations Lead,8, ,Terminated,125642.0,bfrye@smith.net,+1-420-146-2724,Contract,2022-10-30
6, David Webb ,Male,1998.06.21,2019/09/13,Engineering,HR Manager,20,Remote,Active,-1000.0,victorlee@hotmail.com,956-893-6511x15863,,
EMP_7, David Graham ,Male,1993-12-05,2008-04-13,sales,Software Engineer,15,Chennai,Terminated,-1000.0,tortiz@cochran-johnson.com,+1-236-880-0318x0059,Intern,2018-06-26
8, Mark Mathews ,Male,1969-06-25,1995-10-25,HR,HR Manager,41, ,,,blakestephen@gmail.com,(041)454-8518,,2015-01-24
9, Teresa Torres ,Male,1995-12-18,2013-12-20,HR,Software Engineer,23,Hyderabad,,106063.0,swalker@clark.com,354.112.2131x1444,,2023-01-16
10, Seth Hart ,Male,1978-05-17,1980-09-08,Engineering,,18,Remote,Active,-1000.0,christopher29@hill.biz,427.634.5957,Contract,
11, Christopher Vance ,,1972-12-03,1986-09-27,  Engineering  ,,22,Chennai,Resigned,-1000.0,lovecynthia@yahoo.com,001-529-580-4996x95516,,1999-06-10
1 2, Denise Rodriguez ,,1981 Jan 23,01 April 2002,Finance,,40,Bangalore,Resigned,93225.0,,(917)451-8477x790,Full-time,2003 November 12
13, Robert Sellers ,Male,1998-11-13,1999-02-12,sales,Finance Analyst,22,Hyderabad,,,jimenezkristine@hotmail.com,753-457-5197,,1999-11-22
Emp 14, Kristopher Larson ,Male,1976-06-06,2007-02-08,Engineering,Sales Executive,35,Remote,Resigned,-1000.0,lisaward@hotmail.com,048.672.2656x662,,2024-12-17
15, Laura Evans MD ,Female,1985-06-21,2013-07-20,Finance,Finance Analyst,48,Bangalore,Active,50579.0,donnawells@hopkins-hoover.com,+1-572-705-9588x3775,Full-time,
EMP-16, Michael Wallace ,,03.11.72,98.10.01,HR,,49, ,,79040.0,hlang@gmail.com,338-262-8943,Intern,2002/01/15
17, Ronald Richardson ,,1984-05-07,2023-09-29,Sales,Software Engineer,12,Chennai,Resigned,-1000.0,ann44@hotmail.com,(088)452-5322,,2025-02-21
18, Daniel Steele ,Male,2001-02-04,2009-09-20,Sales,Sales Executive,49,Bangalore,,101845.0,awagner@andrews-mahoney.com,0799212382,Contract,2020-11-22
EMP19, Victor Barton ,Male,1984-09-15,1993-10-09,Finance,,47, ,,147106.0,smithchristian@hotmail.com,562-581-4795x699,Contract,2007-02-09
20, Patrick Schneider ,,1983-09-29,2024-02-25,HR,Operations Lead,40,Bangalore,Resigned,-1000.0,sylviamccoy@gmail.com,438-605-2305,Contract,2024-03-21
21 , Angela Walker ,Female,1975-10-14,1984-06-03,HR,Finance Analyst,19,Bangalore,Terminated,47335.0,kennethhodges@martinez.com,+1-499-002-6707x98751,,2017-10-01
22, Colton Johnson ,,1973-01-03,1979-06-11,  Engineering  ,Sales Executive,10, ,Active,-1000.0,johnnymartinez@nichols.com,001-789-159-2762x765,,
23, Crystal George PhD ,Male,1976-10-14,2001-10-21,sales,Sales Executive,48,Chennai,Active,144627.0,kristabaker@mccarthy.com,479.579.0532,Intern,
24, Matthew Turner ,Female,1989-04-07,2005-06-11,  Engineering  ,Finance Analyst,21,Chennai,Active,-1000.0,hollandjoseph@grant.com,621-003-8505,Full-time,
25, Katherine Lee ,Female,1966-05-31,2006-10-16,Engineering,Software Engineer,4,Chennai,Resigned,,thomasmann@gmail.com,024-723-3655x11548,Full-time,2021-05-07
26, Sonya Shelton ,Female,1998-05-02,2007-11-20,Engineering,Operations Lead,29, ,Terminated,147508.0,diana35@andrade-haney.com,001-142-641-0958x00478,,2016-02-01
27, Elizabeth Booker ,,1970-06-29,2015-07-15,Engineering,HR Manager,29,Bangalore,Resigned,84174.0,kjohnson@gmail.com,(928)942-9925,Full-time,2020-08-25
28, Kristen Cox ,Female,1998-09-24,2007-08-25,  Engineering  ,Finance Analyst,34, ,,86981.0,anthony86@yahoo.com,(024)733-1541x6777,Intern,2010-04-18
29, Grant Torres ,Male,1975-09-18,2017-01-03,sales,Sales Executive,38,Bangalore,Terminated,-1000.0,xhoward@yahoo.com,620-514-3850x1636,Intern,2022-02-10
30, Leslie Sanchez ,Male,2000-11-25,2020-02-04,Sales,Sales Executive,42,Bangalore,Active,,jamesjacobs@arnold.org,(693)276-1969x905,Full-time,
31, Terry Yoder ,,1982-09-13,2017-01-02,HR,Operations Lead,46,Remote,Resigned,,zhill@gmail.com,+1-442-031-6348x895,Contract,2023-09-21
32, Johnny Richardson ,Male,1972-11-04,1985-08-23,Sales,HR Manager,23,Chennai,Terminated,-1000.0,morrisjennifer@yahoo.com,3096928752,Full-time,2009-10-09
33, Michael Martinez ,,1977-05-15,2024-08-09,Finance,Sales Executive,47, ,Resigned,57370.0,fcollins@sullivan.com,7581190593,Full-time,2025-03-07
34, Christopher Bryant ,Male,1970-03-29,1985-09-20,Operations,,11,Chennai,Active,-1000.0,dudleyphillip@hotmail.com,190-552-4317x78245,,
35, Robert Morales ,,1964-09-06,1966-07-01,HR,Sales Executive,24,Chennai,,101053.0,egarcia@floyd.net,251.674.6607x2603,Full-time,2005-02-27
36, Phillip Rodgers ,Female,1975-02-14,1997-11-29,sales,HR Manager,31,Chennai,Active,,jennifergonzales@gmail.com,0495754156,Contract,
37, Michael Cortez ,,1984-09-16,1991-08-22,sales,Operations Lead,8, ,,,elizabeth69@yahoo.com,835-224-7464,Contract,2018-05-14
38, Brett Huerta ,,1974-08-08,2014-02-16,Operations,,9,Hyderabad,Active,51955.0,josephhansen@perez.com,881.953.3255,Full-time,
39, Michelle Clayton ,Male,1996-01-07,2015-01-21,HR,Sales Executive,45,Chennai,Resigned,82996.0,megan39@hotmail.com,001-321-306-9036,Contract,2019-06-18
40, Melissa Garcia ,Male,1964-10-26,1983-08-20,  Engineering  ,Finance Analyst,9, ,,42519.0,renee34@lester-turner.net,+1-169-860-1743x7972,,2015-06-19
41, Anne Hodge ,Male,1991-11-12,2014-05-05,Operations,Sales Executive,1,Hyderabad,,92931.0,simmonschristina@yahoo.com,(163)065-8501x3079,Contract,2018-01-19
42, Jose Morgan ,,1986-04-02,1996-10-20,sales,Finance Analyst,3, ,,,,001-096-790-3246x919,Full-time,2011-01-16
43, Angela Gilbert ,Female,1973-09-14,1975-03-29,sales,,45,Chennai,Active,67921.0,beckjeffery@hotmail.com,172.050.9459x01586,Full-time,
44, Mark Johns ,,1978-08-18,2009-04-15,Sales,Operations Lead,12,Bangalore,Resigned,38194.0,jeffrey15@gmail.com,2264100104,,2012-07-11
45, Jennifer Sosa MD ,,1996-07-12,2021-11-10,sales,HR Manager,48,Chennai,Terminated,-1000.0,melissa35@hotmail.com,960-230-5811,,2024-09-12
46, Zachary Krause DDS ,Male,1993-10-24,2006-10-19,  Engineering  ,HR Manager,18,Hyderabad,,39851.0,christopherowens@yahoo.com,001-786-359-2313x51854,,2022-05-16
47, Zachary Williams ,Female,1970-05-15,1993-02-24,Sales,Finance Analyst,30,Hyderabad,Terminated,-1000.0,jorge98@myers.com,977.422.6386,,2019-09-22
48, Robert Hall ,Female,1987-04-25,2018-11-13,  Engineering  ,Operations Lead,19,Chennai,,,joycekerry@hotmail.com,001-591-368-7280x5943,,2019-10-05
49, Samuel Morgan ,Female,1985-04-22,1985-12-26,Finance,Finance Analyst,16,Remote,Resigned,,steven22@taylor.com,798.546.5039x73895,Intern,1994-03-12
50, Donald Martinez ,,1968-06-12,1981-08-16,HR,Finance Analyst,9,Chennai,Terminated,,kdavis@yahoo.com,108-769-6948x889,Intern,2005-07-19
51, Angela King ,,1993-04-13,2023-10-11,HR,Finance Analyst,7,Remote,Terminated,,austinmccoy@yahoo.com,(119)583-1040,,2024-08-17
52, Jennifer Harmon ,,1993-12-05,2000-07-30,Operations,,11,Hyderabad,Resigned,,lopezjessica@mooney.com,568.722.0378x9687,Full-time,2002-03-04
53, Alex Hahn ,,1980-02-06,2023-12-23,Sales,HR Manager,43,Chennai,,55120.0,jasmine56@reynolds.com,041-224-8287,Contract,2024-11-22
54, Stephanie Escobar ,,1987-12-04,2002-01-16,  Engineering  ,Finance Analyst,32,Chennai,Resigned,-1000.0,gonzalezsabrina@bailey-king.com,254-605-0451x19602,,2011-02-25
55, Victoria Bentley ,Female,1987-11-17,1991-07-13,Sales,Finance Analyst,29, ,Terminated,,burgessgerald@yahoo.com,823-840-1081x50212,Intern,2004-08-19
56, Beth Blair ,Male,1993-03-07,2008-07-12,Engineering,Software Engineer,25, ,Resigned,86807.0,mjackson@hotmail.com,7599761249,Contract,2024-07-27
57, Latoya Hardy ,Female,1982-03-20,1993-10-16,Operations,,4,Remote,Active,66201.0,snyderkatelyn@gmail.com,+1-291-598-2540x033,,
58, Jessica Smith ,Male,1973-04-16,1991-01-01,sales,Software Engineer,7,Remote,Resigned,-1000.0,joseph63@gmail.com,502-768-5796x368,Contract,2002-10-06
59, Steven Rodriguez ,Female,1987-11-16,2003-05-26,Sales,,26,Bangalore,Terminated,,jasmine95@beltran.biz,744.843.9948x98284,,2015-12-04
60, Alexandra Love ,Male,1978-07-13,1979-02-13,sales,HR Manager,8,Bangalore,Active,-1000.0,phillipsvictoria@mahoney.org,930.989.6797,Contract,
61, Jennifer Shields ,Female,1992-01-05,2019-06-21,Engineering,Sales Executive,35, ,Resigned,-1000.0,ramirezjessica@mcgee.com,(993)035-8027x07490,Intern,2019-10-04
62, Angela Floyd ,,1973-01-13,2013-02-28,Finance,Sales Executive,50,Remote,Resigned,,reedtracy@henderson.info,431.846.6180x421,Contract,2021-04-29
63, Cynthia Anderson ,,1973-11-09,2004-12-11,Operations,HR Manager,15,Hyderabad,Active,-1000.0,,001-880-045-1480x08178,Contract,
64, Dr. Andrew Burke PhD ,Female,1982-01-24,2004-11-21,Finance,Software Engineer,2,Chennai,Resigned,,douglas33@berger-barnett.com,148-985-4722,Contract,2015-05-20
65, Mrs. Brooke Burgess ,Female,1995-11-25,2021-05-15,Engineering,Sales Executive,5,Hyderabad,Active,,rgray@yahoo.com,(387)405-4773,,
